URL,categoria_producto,tipo_producto,tipo_producto_especifico,id_producto,titulo_producto,descuento_producto,cantidad_producto,precio_total,material
https://www.exito.com/camiseta-strapless-negra-para-mujer-123798232/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisetas de Mujer,TENNIS-PLU: 124102113,Camiseta strapless negra para mujer XL,20,1,N/A,TOTAL: POLIESTER 93% - ELASTANO 7%
https://www.exito.com/camiseta-oversize-azul-para-mujer-123798233/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisetas de Mujer,TENNIS-PLU: 124102117- EAN: 7704122463769,Camiseta oversize azul para mujer  S,30,7,$ 34.930,TOTAL: ALGODON 99% - ELASTANO 1%
https://www.exito.com/camiseta-oversize-verde-para-mujer-123798234/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisetas de Mujer,TENNIS-PLU: 124102126- EAN: 7704122463707,Camiseta oversize verde para mujer  M,20,9,$ 39.920,TOTAL: ALGODON 99% - ELASTANO 1%
https://www.exito.com/pantalon-cafe-de-bota-amplia-para-mujer-123798235/p,Moda Y Accesorios,Ropa Exterior para Mujer,Pantalones de Mujer,TENNIS-PLU: 124102131- EAN: 7704122459410,Pantalón café de bota amplia para mujer  L,30,2,$ 118.930,TOTAL: RAYON 92% - POLIESTER 8%
https://www.exito.com/camisa-cafe-en-lino-para-mujer-123798236/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisas y Blusas de Mujer,TENNIS-PLU: 124102136- EAN: 7704122464070,Camisa café en lino para mujer  S,20,N/A,$ 175.920,TOTAL: LINO 100%
https://www.exito.com/vestido-estampado-con-escote-en-v-para-mujer-123798237/p,Moda Y Accesorios,Ropa Exterior para Mujer,Vestidos de Mujer,TENNIS-PLU: 124102146,Vestido estampado con escote en V para mujer XL,30,1,N/A,TOTAL: VISCOSA 100%
https://www.exito.com/jean-black-denim-craquelado-para-mujer-123798238/p,Moda Y Accesorios,Ropa Exterior para Mujer,Jeans de Mujer,TENNIS-PLU: 124102153,Jean black denim craquelado para mujer  9,20,1,N/A,TOTAL: ALGODON 90% - VISCOSA 10%
https://www.exito.com/buzo-negro-con-efecto-brillante-para-mujer-123798239/p,Moda Y Accesorios,Ropa Exterior para Mujer,Chaquetas y Buzos de Mujer,TENNIS-PLU: 124102165- EAN: 7704122450400,Buzo negro con efecto brillante para mujer XS,30,4,$ 62.930,TOTAL: HILO METALIZADO 67% - POLIESTER 26% - ELASTANO 7%
https://www.exito.com/buzo-gris-con-efecto-brillante-para-mujer-123798240/p,Moda Y Accesorios,Ropa Exterior para Mujer,Chaquetas y Buzos de Mujer,TENNIS-PLU: 124102169- EAN: 7704122450516,Buzo gris con efecto brillante para mujer XS,30,2,$ 62.930,TOTAL: HILO METALIZADO 67% - POLIESTER 26% - ELASTANO 7%
https://www.exito.com/buzo-azul-con-efecto-brillante-para-mujer-123798241/p,Moda Y Accesorios,Ropa Exterior para Mujer,Chaquetas y Buzos de Mujer,TENNIS-PLU: 124102173- EAN: 7704122450547,Buzo azul con efecto brillante para mujer  S,30,1,$ 62.930,TOTAL: HILO METALIZADO 67% - POLIESTER 26% - ELASTANO 7%
https://www.exito.com/jean-con-pretina-desflecada-azul-para-mujer-123798242/p,Moda Y Accesorios,Ropa Exterior para Mujer,Jeans de Mujer,TENNIS-PLU: 124102181,Jean con pretina desflecada azul para mujer  9,30,1,N/A,TOTAL: ALGODON 100%
https://www.exito.com/camiseta-con-escote-en-v-blanca-para-mujer-123798243/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisetas de Mujer,TENNIS-PLU: 124102194- EAN: 7704122465145,Camiseta con escote en V blanca para mujer  M,20,8,$ 47.920,TOTAL: POLIESTER 64% - ALGODON 34% - ELASTANO 2%
https://www.exito.com/falda-tipo-cargo-azul-para-mujer-123798245/p,Moda Y Accesorios,Ropa Exterior para Mujer,Faldas de Mujer,TENNIS-PLU: 124102210- EAN: 7704122464865,Falda tipo cargo azul para mujer 10,20,4,$ 103.920,TOTAL: ALGODON 100%
https://www.exito.com/falda-con-cortes-asimetricos-azul-para-mujer-123798246/p,Moda Y Accesorios,Ropa Exterior para Mujer,Faldas de Mujer,TENNIS-PLU: 124102216- EAN: 7704122458680,Falda con cortes asimétricos azul para mujer  6,20,7,$ 135.920,TOTAL: ALGODON 100%
https://www.exito.com/jean-negro-con-aberturas-decorativas-para-mujer-123798247/p,Moda Y Accesorios,Ropa Exterior para Mujer,Jeans de Mujer,TENNIS-PLU: 124102221- EAN: 7704122442832,Jean negro con aberturas decorativas para mujer  9,30,1,$ 139.930,TOTAL: ALGODON 90% - VISCOSA 10%
https://www.exito.com/jean-estetica-cargo-azul-para-mujer-123798248/p,Moda Y Accesorios,Ropa Exterior para Mujer,Jeans de Mujer,TENNIS-PLU: 124102235- EAN: 7704122464629,Jean estética cargo azul para mujer  9,30,3,$ 139.930,TOTAL: ALGODON 98% - ELASTANO 2%
https://www.exito.com/camiseta-manga-corta-blanca-para-hombre-123798250/p,Moda Y Accesorios,Ropa Exterior para Hombre,Camisetas de Hombre,TENNIS-PLU: 124102254- EAN: 7704122388314,Camiseta manga corta blanca para hombre XL,30,2,$ 41.930,TOTAL: ALGODON 100%
https://www.exito.com/camiseta-blanca-con-raqueta-estampada-para-mujer-123798251/p,Moda Y Accesorios,Ropa Exterior para Hombre,Camisetas de Hombre,TENNIS-PLU: 124102261- EAN: 7704122468610,Camiseta blanca con raqueta estampada para mujer  M,30,3,$ 55.930,TOTAL: ALGODON 95% - ELASTANO 5%
https://www.exito.com/camisa-crudo-con-escote-recto-para-mujer-123798253/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisas y Blusas de Mujer,TENNIS-PLU: 124102272- EAN: 7704122466449,Camisa crudo con escote recto para mujer  S,20,N/A,$ 135.920,TOTAL: ALGODON 100%
https://www.exito.com/pijama-de-short-estampada-para-mujer-123798254/p,Moda Y Accesorios,Pijamas para Mujer,Conjuntos de Pijama Mujer,TENNIS-PLU: 124102286- EAN: 7704122465824,Pijama de short estampada para mujer XS,30,7,$ 83.930,TOTAL: VISCOSA 100%
https://www.exito.com/bermuda-roja-de-tela-fluida-para-mujer-123798255/p,Moda Y Accesorios,Ropa Exterior para Mujer,Pantalones Cortos y Shorts de Mujer,TENNIS-PLU: 124102287- EAN: 7704122446496,Bermuda roja de tela fluida para mujer  M,30,6,$ 69.930,TOTAL: ALGODON 55% - LINO 45%
https://www.exito.com/chaleco-rojo-con-detalles-tejidos-para-mujer-123798256/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisas y Blusas de Mujer,TENNIS-PLU: 124102293- EAN: 7704122458123,Chaleco rojo con detalles tejidos para mujer   M,20,6,$ 119.920,TOTAL: ALGODON 53% - LINO 42% - POLIESTER 5%
https://www.exito.com/camisa-roja-manga-corta-para-mujer-123798257/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisas y Blusas de Mujer,TENNIS-PLU: 124102297- EAN: 7704122446960,Camisa roja manga corta para mujer  S,30,N/A,$ 104.930,TOTAL: ALGODON 55% - LINO 45%
https://www.exito.com/vestido-estampado-largo-para-mujer-123798258/p,Moda Y Accesorios,Ropa Exterior para Mujer,Vestidos de Mujer,TENNIS-PLU: 124102302- EAN: 7704122464742,Vestido estampado largo para mujer  M,30,N/A,$ 167.930,TOTAL: ALGODON 100%
https://www.exito.com/camiseta-basica-amarilla-para-mujer-123798259/p,Moda Y Accesorios,Ropa Exterior para Mujer,Camisetas de Mujer,TENNIS-PLU: 124102311- EAN: 7704122440654,Camiseta básica amarilla para mujer  M,20,9,$ 31.920,TOTAL: POLIESTER 65% - ALGODON 35%
https://www.exito.com/vestido-estampado-con-boleros-para-mujer-123798261/p,Moda Y Accesorios,Ropa Exterior para Mujer,Vestidos de Mujer,TENNIS-PLU: 124102332,Vestido estampado con boleros para mujer XS,30,2,N/A,TOTAL: ALGODON 100%
https://www.exito.com/pantalon-horseshoe-crudo-para-mujer-123798262/p,Moda Y Accesorios,Ropa Exterior para Mujer,Pantalones de Mujer,TENNIS-PLU: 124102337- EAN: 7704122465688,Pantalón Horseshoe crudo para mujer  8,30,3,$ 118.930,TOTAL: ALGODON 100%
https://www.exito.com/falda-crudo-anudable-en-costado-para-mujer-123798266/p,Moda Y Accesorios,Ropa Exterior para Mujer,Faldas de Mujer,TENNIS-PLU: 124102378,Falda crudo anudable en costado para mujer XS,30,5,N/A,"FORRO: VISCOSA 100%
 EXTERIOR: ALGODON 100%"
https://www.exito.com/vestido-estampado-manga-larga-para-mujer-123798267/p,Moda Y Accesorios,Ropa Exterior para Mujer,Vestidos de Mujer,TENNIS-PLU: 124102386- EAN: 7704122464650,Vestido estampado manga larga para mujer  S,30,9,$ 104.930,TOTAL: ALGODON 100%
https://www.exito.com/vestido-estampado-de-tela-fluida-para-mujer-123798268/p,Moda Y Accesorios,Ropa Exterior para Mujer,Vestidos de Mujer,TENNIS-PLU: 124102393- EAN: 7704122464698,Vestido estampado de tela fluida para mujer  M,20,6,$ 103.920,TOTAL: VISCOSA 100%
https://www.exito.com/tenis-drop-shot---hombre---azul-123798272/p,Moda Y Accesorios,Calzado para Hombre,Tenis Moda de Hombre,FILA-PLU: 124102421,Tenis Drop Shot - Talla 9,29,1,$ 239.000,LIFE STYLE
https://www.exito.com/morral-santi---unisex---azul-123798275/p,Moda Y Accesorios,Marroquineria,Morrales,LOTTO-PLU: 124102456,Morral Santi - Talla U,N/A,10,$ 109.000,LIFE STYLE
https://www.exito.com/morral-francesco---unisex---verde-123798277/p,Moda Y Accesorios,Marroquineria,Morrales,LOTTO-PLU: 124102458,Morral Francesco - Talla U,N/A,N/A,$ 119.000,LIFE STYLE
https://www.exito.com/tula-baster---unisex---azul-123798279/p,Moda Y Accesorios,Maletas Y Bolsos,Tulas depotivas,FILA-PLU: 124102460,Tula Baster - Talla U,N/A,4,$ 59.000,FUTBOL
https://www.exito.com/maletin-cristiano---unisex---rojo-123798280/p,Moda Y Accesorios,Marroquineria Hombre,Maletines de hombre,LOTTO-PLU: 124102461,Maletin Cristiano - Talla U,N/A,N/A,$ 129.000,LIFE STYLE
https://www.exito.com/morral-sparta---unisex---negro-123798281/p,Moda Y Accesorios,Marroquineria,Morrales,LOTTO-PLU: 124102462,Morral Sparta - Talla U,N/A,10,$ 129.000,LIFE STYLE
https://www.exito.com/pantaloneta---hombre---gris-123798282/p,Moda Y Accesorios,Ropa deportiva para Hombre,Shorts y Pantalonetas deportivas Hombre,X-GYM-PLU: 124102481,Pantaloneta - Talla L,18,1,$ 89.000,LIFE STYLE
https://www.exito.com/sudadera-piker-123798283/p,Moda Y Accesorios,Ropa deportiva para Hombre,"Sudaderas, pantalones y Licras deportivas Hombre",X-GYM-PLU: 124102483,Sudadera Piker - Talla L,13,2,$ 129.000,LIFE STYLE
https://www.exito.com/pantaloneta-alex---hombre---azul-123798284/p,Moda Y Accesorios,Ropa deportiva para Hombre,Shorts y Pantalonetas deportivas Hombre,LOTTO-PLU: 124102489,Pantaloneta Alex - Talla L,27,1,$ 79.000,LIFE STYLE
https://www.exito.com/buzo-cremallera---hombre---azul-123798285/p,Moda Y Accesorios,Ropa deportiva para Hombre,"Busos, chaquetas deportivo Hombre",X-GYM-PLU: 124102497,Buzo Cremallera - Talla S,14,3,$ 119.000,LIFE STYLE
https://www.exito.com/morral-archaeology-2-0-de-cuero-para-hombre-bolsillos-laterales-123798286/p,Moda Y Accesorios,Marroquineria Hombre,Maletines de hombre,VELEZ-PLU: 124102503- EAN: 7705007122764,Morral archaeology 2.0 de cuero para hombre bolsillos laterales Miel,N/A,N/A,$ 799.900,Hombre
https://www.exito.com/bowling-egipto-de-cuero-acabado-folia-para-mujer-tejido-artesanal-123798289/p,Moda Y Accesorios,Marroquineria,Bolsos y carteras de mujer,VELEZ-PLU: 124102506- EAN: 7705007123105,Bowling egipto de cuero acabado folia para mujer tejido artesanal Cafe,N/A,4,$ 709.900,Mujer
https://www.exito.com/short-ciboria-de-cuero-gamuza-para-mujer-tiro-alto-123798290/p,Moda Y Accesorios,Ropa Exterior para Mujer,Pantalones Cortos y Shorts de Mujer,VELEZ-PLU: 124102507- EAN: 7705007283809,Short ciboria de cuero gamuza para mujer tiro alto Arena 08,40,2,$ 449.940,Mujer
https://www.exito.com/morral-archaeology-2-0-de-cuero-para-hombre-bolsillos-laterales-123798291/p,Moda Y Accesorios,Marroquineria Hombre,Maletines de hombre,VELEZ-PLU: 124102516- EAN: 7705007122757,Morral archaeology 2.0 de cuero para hombre bolsillos laterales Negro,N/A,7,$ 799.900,Hombre
https://www.exito.com/cinturon-unifaz-makki-de-cuero-para-mujer-placa-reptilia-123798292/p,Moda Y Accesorios,Accesorios De Moda,Cinturones,VELEZ-PLU: 124102517- EAN: 7705007279017,Cinturón unifaz makki de cuero para mujer placa reptilia Rojo M,N/A,N/A,$ 69.900,Mujer
https://www.exito.com/cinturon-unifaz-duna-2-para-hombre-punta-trapecio-123798293/p,Moda Y Accesorios,Accesorios De Moda,Cinturones,VELEZ-PLU: 124102519- EAN: 7705007207874,Cinturón unifaz duna 2 para hombre punta trapecio Negro 34,N/A,N/A,$ 139.900,103634200
https://www.exito.com/morral-tropical-escape-2-0-de-cuero-para-hombre-bolsillo-lateral-123798300/p,Moda Y Accesorios,Marroquineria,Morrales,VELEZ-PLU: 124102559,Morral tropical escape 2.0 de cuero para hombre bolsillo lateral Negro,N/A,N/A,N/A,Hombre
https://www.exito.com/botas-ambar-de-cuero-para-hombre-detalle-vena-en-puntera-123798301/p,Moda Y Accesorios,Calzado para Hombre,Botas de Hombre,VELEZ-PLU: 124102560- EAN: 7705007204385,Botas ambar de cuero para hombre detalle vena en puntera Miel 42,N/A,N/A,$ 659.900,Hombre
https://www.exito.com/shopping-canasta-de-material-alternativo-para-mujer-tejido-123798308/p,Moda Y Accesorios,Marroquineria,Bolsos y carteras de mujer,VELEZ-PLU: 124102570- EAN: 7705007352925,Shopping canasta de material alternativo para mujer tejido Miel,30,N/A,$ 496.930,Única
https://www.exito.com/polo-oculus-para-hombre-semi-fit-123798310/p,Moda Y Accesorios,Ropa Exterior para Hombre,Camisetas Tipo Polo Hombre,VELEZ-PLU: 124102577- EAN: 7705007341325,Polo oculus para hombre semi fit Blanco XX,N/A,3,$ 189.900,Hombre
https://www.exito.com/jean-wide-leg-aurora-para-mujer-efecto-metalizado-123798311/p,Moda Y Accesorios,Ropa Exterior para Mujer,Jeans de Mujer,VELEZ-PLU: 124102579- EAN: 7705007342629,Jean wide leg aurora para mujer efecto metalizado Crema 05,N/A,N/A,$ 279.900,Mujer
https://www.exito.com/manilla-sunlight-de-cuero-para-hombre-trenzada-123798318/p,Moda Y Accesorios,Accesorios De Moda,Manillas Y Pulseras,VELEZ-PLU: 124102592- EAN: 7705007297950,Manilla sunlight de cuero para hombre trenzada Azul Oscuro,N/A,N/A,$ 59.900,Hombre
https://www.exito.com/shopping-luca-doble-faz-de-cuero-para-mujer-contraste-123798320/p,Moda Y Accesorios,Marroquineria,Bolsos y carteras de mujer,VELEZ-PLU: 124102594- EAN: 7705007310765,Shopping luca doble faz de cuero para mujer contraste Verde,N/A,N/A,$ 519.900,Mujer
https://www.exito.com/sneaker-elios-de-cuero-para-hombre-silueta-deportiva-123798321/p,Moda Y Accesorios,Calzado para Hombre,Tenis Moda de Hombre,VELEZ-PLU: 124102601,Sandalia plana amanecer de cuero para mujer amarre al tobillo Dorado 35,40,N/A,N/A,N/A
https://www.exito.com/cinturon-unifaz-luster-de-cuero-para-hombre-punta-trapecio-123798325/p,Moda Y Accesorios,Accesorios De Moda,Cinturones,VELEZ-PLU: 124102622- EAN: 7705007296373,Cinturón unifaz luster de cuero para hombre punta trapecio Arena 36,N/A,N/A,$ 119.900,36 38 42 32 40
https://www.exito.com/manos-libres-alava-2-de-cuero-para-hombre-silueta-vertical-123798327/p,Moda Y Accesorios,Marroquineria Hombre,Bolsos y manoslibres de hombre,VELEZ-PLU: 124102628- EAN: 7705007306096,Manos libres alava 2 de cuero para hombre silueta vertical Miel,N/A,N/A,$ 379.900,Única
https://www.exito.com/camiseta-franjas-2-tejida-para-hombre-manga-corta-123798333/p,Moda Y Accesorios,Ropa Exterior para Hombre,Camisetas Tipo Polo Hombre,VELEZ-PLU: 124102662- EAN: 7705007288422,Camiseta franjas 2 tejida para hombre manga corta Azul Oscuro M,N/A,7,$ 189.900,M
https://www.exito.com/mocasines-loira-2-de-cuero-gamuzado-para-hombre-silueta-monkstrap-123798335/p,Moda Y Accesorios,Calzado para Hombre,Mocasines de Hombre,VELEZ-PLU: 124102675- EAN: 7705007318365,Mocasines loira 2 de cuero gamuzado para hombre silueta monkstrap Cafe 41,N/A,N/A,$ 589.900,41 39 42 45 43 44 40
https://www.exito.com/mocasines-malta-de-cuero-para-hombre-resorte-al-talon-123798336/p,Moda Y Accesorios,Calzado para Hombre,Mocasines de Hombre,VELEZ-PLU: 124102686- EAN: 7705007283274,Mocasines malta de cuero para hombre resorte al talón Verde Oliva 40,N/A,N/A,$ 299.900,Hombre
https://www.exito.com/falda-plisada-alma-para-mujer-tejido-de-punto-123798338/p,Moda Y Accesorios,Ropa Exterior para Mujer,Vestidos de Mujer,VELEZ-PLU: 124102694- EAN: 7705007341059,Falda plisada alma para mujer tejido de punto Rojo 05,N/A,N/A,$ 249.900,Mujer
https://www.exito.com/tenis-whited-2-de-cuero-para-hombre-cordon-encerado-123798339/p,Moda Y Accesorios,Calzado para Hombre,Tenis Moda de Hombre,VELEZ-PLU: 124102695- EAN: 7705007341660,Tenis whited 2 de cuero para hombre cordón encerado Gris 40,N/A,N/A,$ 439.900,Hombre
https://www.exito.com/manos-libres-mini-lili-2-0-de-cuero-gamuza-para-mujer-tejido-123798341/p,Moda Y Accesorios,Marroquineria,Bolsos y carteras de mujer,VELEZ-PLU: 124102711,Manos libres mini lili 2.0 de cuero gamuza para mujer tejido Verde,N/A,N/A,N/A,Mujer
https://www.exito.com/manos-libres-mini-lili-2-0-de-cuero-gamuza-para-mujer-tejido-123798342/p,Moda Y Accesorios,Marroquineria,Bolsos y carteras de mujer,VELEZ-PLU: 124102712,Manos libres mini lili 2.0 de cuero gamuza para mujer tejido Rosado,N/A,N/A,N/A,Mujer
https://www.exito.com/manos-libres-mini-lili-de-cuero-para-mujer-silueta-hexagonal-123798343/p,Moda Y Accesorios,Marroquineria,Bolsos y carteras de mujer,VELEZ-PLU: 124102713- EAN: 7705007313964,Manos libres mini lili de cuero para mujer silueta hexagonal Arena,N/A,N/A,$ 539.900,Mujer
https://www.exito.com/bowling-garniel-de-cuero-para-mujer-detalle-millare-123798344/p,Moda Y Accesorios,Marroquineria,Bolsos y carteras de mujer,VELEZ-PLU: 124102715- EAN: 7705007314060,Bowling garniel de cuero para mujer detalle millaré Verde,N/A,7,$ 709.900,Mujer
https://www.exito.com/bowling-garniel-de-cuero-gamuza-para-mujer-manija-trenzada-123798345/p,Moda Y Accesorios,Marroquineria,Bolsos y carteras de mujer,VELEZ-PLU: 124102714,Bowling garniel de cuero gamuza para mujer manija trenzada Miel,N/A,N/A,N/A,Mujer
https://www.exito.com/bowling-garniel-de-cuero-para-mujer-detalles-hexagonales-123798347/p,Moda Y Accesorios,Marroquineria,Bolsos y carteras de mujer,VELEZ-PLU: 124102718,Bowling garniel de cuero para mujer detalles hexagonales Blanco,N/A,N/A,N/A,Mujer
https://www.exito.com/manos-libres-mini-lili-de-cuero-gamuza-para-mujer-trenzado-123798348/p,Moda Y Accesorios,Marroquineria,Bolsos y carteras de mujer,VELEZ-PLU: 124102717- EAN: 7705007392167,Manos libres mini lili de cuero gamuza para mujer trenzado Rojo,N/A,3,$ 539.900,Mujer
https://www.exito.com/manos-libres-helios-de-cuero-para-hombre-silueta-deportiva-123798349/p,Moda Y Accesorios,Marroquineria Hombre,Bolsos y manoslibres de hombre,VELEZ-PLU: 124102719- EAN: 7705007306300,Manos libres helios de cuero para hombre silueta deportiva Miel,N/A,N/A,$ 569.900,Hombre
https://www.exito.com/sandalia-orcian-3-de-cuero-para-hombre-ajuste-al-tobillo-123798350/p,Moda Y Accesorios,Calzado para Hombre,Sandalias de Hombre,VELEZ-PLU: 124102720- EAN: 7705007363983,Sandalia orcian 3 de cuero para hombre ajuste al tobillo Arena 41,N/A,N/A,$ 309.900,Hombre
https://www.exito.com/tenis-luster-2-de-cuero-para-hombre-puntera-almendrada-123798351/p,Moda Y Accesorios,Calzado para Hombre,Tenis Moda de Hombre,VELEZ-PLU: 124102739,Tenis luster 2 de cuero para hombre puntera almendrada Gris 39,N/A,N/A,N/A,Hombre
https://www.exito.com/cinturon-doble-faz-loira-2-de-cuero-para-hombre-punta-trapecio-123798356/p,Moda Y Accesorios,Accesorios De Moda,Cinturones,VELEZ-PLU: 124102796- EAN: 7705007368933,Cinturón doble faz loira 2 de cuero para hombre punta trapecio Miel 36,N/A,N/A,$ 149.900,36 40 38 34 32
https://www.exito.com/cinturon-doble-faz-loira-2-de-cuero-para-hombre-punta-trapecio-123798357/p,Moda Y Accesorios,Accesorios De Moda,Cinturones,VELEZ-PLU: 124102808,Cinturón doble faz loira 2 de cuero para hombre punta trapecio Cafe 38,N/A,1,N/A,N/A
https://www.exito.com/cinturon-unifaz-turkana-2-de-cuero-para-hombre-punta-trapecio-123798358/p,Moda Y Accesorios,Accesorios De Moda,Cinturones,VELEZ-PLU: 124102813,Cinturón unifaz turkana 2 de cuero para hombre punta trapecio Miel 34,N/A,N/A,N/A,N/A
https://www.exito.com/cinturon-unifaz-turkana-2-de-cuero-para-hombre-punta-trapecio-123798359/p,Moda Y Accesorios,Accesorios De Moda,Cinturones,VELEZ-PLU: 124102821- EAN: 7705007369886,Cinturón unifaz turkana 2 de cuero para hombre punta trapecio Azul Oscuro 34,N/A,N/A,$ 119.900,34 32 40 42 38 36
https://www.exito.com/manos-libres-mini-abi-de-cuero-y-lona-para-mujer-monogram-123798360/p,Moda Y Accesorios,Marroquineria,Bolsos y carteras de mujer,VELEZ-PLU: 124102833- EAN: 7705007372923,Manos libres mini abi de cuero y lona para mujer monogram Gris,N/A,N/A,$ 509.900,Mujer
https://www.exito.com/manos-libres-halo-2-de-cuero-liso-y-cuero-gamuzado-para-hombre-multifuncional-123798361/p,Moda Y Accesorios,Marroquineria Hombre,Bolsos y manoslibres de hombre,VELEZ-PLU: 124102834- EAN: 7705007372756,Manos libres halo 2 de cuero liso y cuero gamuzado para hombre multifuncional Cafe,N/A,N/A,$ 539.900,Hombre
https://www.exito.com/billetera-arabia-3-0-de-cuero-para-hombre-silueta-slim-123798362/p,Moda Y Accesorios,Marroquineria Hombre,Billeteras de hombre,VELEZ-PLU: 124102835- EAN: 7705007372237,Billetera arabia 3.0 de cuero para hombre silueta slim Miel,N/A,N/A,$ 159.900,Hombre
https://www.exito.com/manos-libres-halo-2-de-cuero-liso-y-cuero-gamuzado-para-hombre-multifuncional-123798363/p,Moda Y Accesorios,Marroquineria Hombre,Bolsos y manoslibres de hombre,VELEZ-PLU: 124102836- EAN: 7705007372749,Manos libres halo 2 de cuero liso y cuero gamuzado para hombre multifuncional Miel,N/A,N/A,$ 539.900,Hombre
https://www.exito.com/billetera-arabia-3-0-de-cuero-para-hombre-silueta-slim-123798364/p,Moda Y Accesorios,Marroquineria Hombre,Billeteras de hombre,VELEZ-PLU: 124102837- EAN: 7705007372244,Billetera arabia 3.0 de cuero para hombre silueta slim Azul Oscuro,N/A,N/A,$ 159.900,Hombre
https://www.exito.com/cinturon-unifaz-de-cuero-pelo-para-mujer-puntera-hexagonal-123798371/p,Moda Y Accesorios,Accesorios De Moda,Cinturones,VELEZ-PLU: 124102908- EAN: 7705007376587,Cinturón unifaz de cuero pelo para mujer puntera hexagonal Negro M,N/A,N/A,$ 119.900,Mujer
https://www.exito.com/cinturon-unifaz-de-cuero-pelo-para-mujer-puntera-hexagonal-123798372/p,Moda Y Accesorios,Accesorios De Moda,Cinturones,VELEZ-PLU: 124102914- EAN: 7705007376686,Cinturón unifaz de cuero pelo para mujer puntera hexagonal Blanco XL,N/A,9,$ 119.900,Mujer
